LINHA;NOME DA ESTAÇÃO;SIGLA DA ESTAÇÃO;DESCRIÇÃO DO PRODUTO;GRUPO v1;GRUPO;LOCALIZACAO;Codigo;Codigov2;;PAINEL
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-16;BGD-MPS-16;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BGD-MLS-10;BGD-MLS-10;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-4;BGD-MPS-4;;
3;ESTACAO CAMPO LIMPO           ;CPL;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPL-PS -4;CPL-PS-4;x;
2;ESTACAO CAMPO LIMPO           ;CPL;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPL-PS -2;CPL-PS-2;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CPL-MLS-2;CPL-MLS-2;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPL-MPS-1;CPL-MPS-1;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPL-MPS-2;CPL-MPS-2;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPL-MPS-3;CPL-MPS-3;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPL-MPS-4;CPL-MPS-4;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPL-PS -6;CPL-PS-6;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CPL-MLS-1;CPL-MLS-1;;
5;ESTACAO CAMPO LIMPO           ;CPL;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPL-PS -5;CPL-PS-5;;
2;ESTACAO CAPAO REDONDO         ;CPR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPR-PS-6;CPR-PS-6;x;
2;ESTACAO CAPAO REDONDO         ;CPR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPR-PS -3;CPR-PS-3;;
5;ESTACAO CAPAO REDONDO         ;CPR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPR-MPS-2;CPR-MPS-2;;
5;ESTACAO CAPAO REDONDO         ;CPR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPR-MPS-4;CPR-MPS-4;;
5;ESTACAO CAPAO REDONDO         ;CPR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPR-PS -1;CPR-PS-1;;
5;ESTACAO CAPAO REDONDO         ;CPR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CPR-MPS-3;CPR-MPS-3;;
5;ESTACAO CAPAO REDONDO         ;CPR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPR-PS -7;CPR-PS-7;;
5;ESTACAO CAPAO REDONDO         ;CPR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CPR-PS -5;CPR-PS-5;;
5;ESTACAO CARANDIRU             ;CDU;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CDU-AS-6;CDU-AS-6;x;
5;ESTACAO CARANDIRU             ;CDU;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CDU-AS-7;CDU-AS-7;;
5;ESTACAO CARANDIRU             ;CDU;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CDU-AS-4;CDU-AS-4;;
5;ESTACAO CARANDIRU             ;CDU;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CDU-AS-3;CDU-AS-3;;
1;ESTACAO CARRAO                ;CAR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CAR-MLS-2;CAR-MLS-2;x;
1;ESTACAO CARRAO                ;CAR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CAR-PS -5;CAR-PS-5;;
1;ESTACAO CARRAO                ;CAR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CAR-MLS-5;CAR-MLS-5;;
1;ESTACAO CARRAO                ;CAR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CAR-MPS-2;CAR-MPS-2;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CAR-MPS-3;CAR-MPS-3;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CAR-MLS-3;CAR-MLS-3;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CAR-MLS-6;CAR-MLS-6;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CAR-MPS-1;CAR-MPS-1;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CAR-MPS-6;CAR-MPS-6;;
3;ESTACAO CARRAO                ;CAR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CAR-PS -3;CAR-PS-3;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CAR-MPS-5;CAR-MPS-5;;
3;ESTACAO CARRAO                ;CAR;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;CAR-PP -1;CAR-PP-1;;
3;ESTACAO CARRAO                ;CAR;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;CAR-PP -2;CAR-PP-2;;
3;ESTACAO CARRAO                ;CAR;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;CAR-PP -3;CAR-PP-3;;
3;ESTACAO CARRAO                ;CAR;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;CAR-MLP-2;CAR-MLP-2;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CAR-MLS-4;CAR-MLS-4;;
3;ESTACAO CARRAO                ;CAR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CAR-PS -1;CAR-PS-1;;
3;ESTACAO CARRAO                ;CAR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CAR-PS -2;CAR-PS-2;;
3;ESTACAO CARRAO                ;CAR;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CAR-PS -4;CAR-PS-4;;
3;ESTACAO CARRAO                ;CAR;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CAR-MPS-4;CAR-MPS-4;;
3;ESTACAO CARRAO                ;CAR;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;CAR-PP -4;CAR-PP-4;;
3;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -3;CLI-AS-3;x;
3;ESTACAO CLINICAS              ;CLI;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;CLI-MLC-5;CLI-MLC-5;;
3;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -1;CLI-AS-1;;
3;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -2;CLI-AS-2;;
2;ESTACAO CLINICAS              ;CLI;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CLI-MLS-2;CLI-MLS-2;;
2;ESTACAO CLINICAS              ;CLI;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;CLI-MLC-1;CLI-MLC-1;;
2;ESTACAO CLINICAS              ;CLI;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;CLI-MLC-3;CLI-MLC-3;;
2;ESTACAO CLINICAS              ;CLI;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CLI-PDF-1;CLI-PDF-1;;
2;ESTACAO CLINICAS              ;CLI;CLÁSSICO MEZANINO PAGO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO PAGO;CLI-MPC-4;CLI-MPC-4;;
2;ESTACAO CLINICAS              ;CLI;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CLI-PDF-2;CLI-PDF-2;;
2;ESTACAO CLINICAS              ;CLI;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CLI-PDF-3;CLI-PDF-3;;
2;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -4;CLI-AS-4;;
2;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -5;CLI-AS-5;;
2;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -6;CLI-AS-6;;
2;ESTACAO CLINICAS              ;CLI;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CLI-AS -7;CLI-AS-7;;
2;ESTACAO CLINICAS              ;CLI;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CLI-MLS-1;CLI-MLS-1;;
2;ESTACAO CLINICAS              ;CLI;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CLI-PDF-4;CLI-PDF-4;;
2;ESTACAO CLINICAS              ;CLI;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CLI-PDF-5;CLI-PDF-5;;
2;ESTACAO CLINICAS              ;CLI;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CLI-PDF-6;CLI-PDF-6;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -11;CLI-PS-11;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -6;CLI-PS-6;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -7;CLI-PS-7;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-10;CLI-PER-10;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-11;CLI-PER-11;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-12;CLI-PER-12;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-13;CLI-PER-13;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-14;CLI-PER-14;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-15;CLI-PER-15;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-16;CLI-PER-16;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-17;CLI-PER-17;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-18;CLI-PER-18;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-19;CLI-PER-19;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-20;CLI-PER-20;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-21;CLI-PER-21;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-22;CLI-PER-22;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-23;CLI-PER-23;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-24;CLI-PER-24;;
2;ESTACAO CLINICAS              ;CLI;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CLI-PER-9;CLI-PER-9;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -1;CLI-PS-1;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -10;CLI-PS-10;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -12;CLI-PS-12;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -2;CLI-PS-2;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -3;CLI-PS-3;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -4;CLI-PS-4;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -5;CLI-PS-5;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -8;CLI-PS-8;;
2;ESTACAO CLINICAS              ;CLI;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CLI-PS -9;CLI-PS-9;;
2;ESTACAO CLINICAS              ;CLI;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;CLI-MLP-1 ;CLI-MLP-1;;
2;ESTACAO CONCEICAO             ;CON;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CON-AS -11;CON-AS-11;x;
2;ESTACAO CONCEICAO             ;CON;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CON-PDF-4;CON-PDF-4;;
2;ESTACAO CONCEICAO             ;CON;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CON-PDF-2;CON-PDF-2;;
1;ESTACAO CONCEICAO             ;CON;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CON-AS -6;CON-AS-6;;
1;ESTACAO CONCEICAO             ;CON;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CON-AS -7;CON-AS-7;;
1;ESTACAO CONCEICAO             ;CON;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CON-MLS-1;CON-MLS-1;;
1;ESTACAO CONCEICAO             ;CON;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;CON-MLS-3;CON-MLS-3;;
1;ESTACAO CONCEICAO             ;CON;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;CON-MPP-2;CON-MPP-2;;
1;ESTACAO CONCEICAO             ;CON;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;CON-MPS-6;CON-MPS-6;;
1;ESTACAO CONCEICAO             ;CON;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CON-PDF-3;CON-PDF-3;;
1;ESTACAO CONCEICAO             ;CON;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CON-PDF-6;CON-PDF-6;;
1;ESTACAO CONCEICAO             ;CON;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;CON-AS -10;CON-AS-10;;
1;ESTACAO CONCEICAO             ;CON;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;CON-PDF-5;CON-PDF-5;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -11;CNS-PS-11;x;
1;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -19;CNS-PS-19;;
1;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -7;CNS-PS-7;;
1;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -20;CNS-PS-20;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-43;CNS-PER-43;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-44;CNS-PER-44;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-45;CNS-PER-45;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-46;CNS-PER-46;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-47;CNS-PER-47;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-48;CNS-PER-48;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-49;CNS-PER-49;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-50;CNS-PER-50;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-51;CNS-PER-51;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-52;CNS-PER-52;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-53;CNS-PER-53;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -10;CNS-PS-10;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -15;CNS-PS-15;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -3;CNS-PS-3;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -5;CNS-PS-5;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -4;CNS-PS-4;;
2;ESTACAO CONSOLACAO            ;CNS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;CNS-PS -8;CNS-PS-8;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-1;CNS-PER-1;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-10;CNS-PER-10;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-11;CNS-PER-11;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-12;CNS-PER-12;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-13;CNS-PER-13;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-14;CNS-PER-14;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-15;CNS-PER-15;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-16;CNS-PER-16;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-17;CNS-PER-17;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-18;CNS-PER-18;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-19;CNS-PER-19;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-2;CNS-PER-2;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-20;CNS-PER-20;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-21;CNS-PER-21;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-22;CNS-PER-22;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-23;CNS-PER-23;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-24;CNS-PER-24;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-25;CNS-PER-25;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-26;CNS-PER-26;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-27;CNS-PER-27;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-28;CNS-PER-28;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-29;CNS-PER-29;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-3;CNS-PER-3;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-30;CNS-PER-30;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-31;CNS-PER-31;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-32;CNS-PER-32;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-33;CNS-PER-33;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-34;CNS-PER-34;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-35;CNS-PER-35;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-36;CNS-PER-36;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-37;CNS-PER-37;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-38;CNS-PER-38;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-39;CNS-PER-39;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-4;CNS-PER-4;;
2;ESTACAO CONSOLACAO            ;CNS;PAINEL DE ESCADA;PAINEL DE ESCADA;PAINEL DE ESCADA;ESCADAS;CNS-PER-40;CNS-PER-40;;
